sequence_index,phase,time_s,cluster_id,observed_liquid_share,prior_liquid_share,posterior_liquid_share,observed_sand_share,prior_sand_share,posterior_sand_share,prior_half_length_m,posterior_half_length_m,fiber_liquid_allocation,posterior_cluster_factor,posterior_sand_transport_factor,allocation_source
0,calibration,1.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.218904669411816e-05,3.215812754994648e-05,0.16666666666666669,1.0,1.0,fiber_incremental_liquid_weight
0,calibration,1.0,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.218904669411816e-05,3.215812754994648e-05,0.16666666666666669,1.0,1.0,fiber_incremental_liquid_weight
0,calibration,1.0,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.218904669411816e-05,3.215812754994648e-05,0.16666666666666669,1.0,1.0,fiber_incremental_liquid_weight
0,calibration,1.0,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.218904669411816e-05,3.215812754994648e-05,0.16666666666666669,1.0,1.0,fiber_incremental_liquid_weight
0,calibration,1.0,4,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.218904669411816e-05,3.215812754994648e-05,0.16666666666666669,1.0,1.0,fiber_incremental_liquid_weight
0,calibration,1.0,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,3.218904669411816e-05,3.215812754994648e-05,0.16666666666666669,1.0,1.0,fiber_incremental_liquid_weight
1,calibration,75.0,0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0010169657722208698,0.0010149836471647225,0.16666666666666666,1.0,1.0,fiber_incremental_liquid_weight
1,calibration,75.0,1,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0010169657722208698,0.0010149836471647225,0.16666666666666666,1.0,1.0,fiber_incremental_liquid_weight
1,calibration,75.0,2,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0010169657722208698,0.0010149836471647225,0.16666666666666666,1.0,1.0,fiber_incremental_liquid_weight
1,calibration,75.0,3,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0010169657722208698,0.0010149836471647225,0.16666666666666666,1.0,1.0,fiber_incremental_liquid_weight
